               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.031465,            0.012115,           0.0022734,             0.95128,             0.59167,             0.77707,             0.35051,            0.031992,            0.010507,           0.0015502,           0.0086932,           0.0086932,           0.0086932
                 134,            0.031732,            0.011488,           0.0012419,              0.7992,             0.54167,             0.66267,             0.30813,            0.033436,            0.010225,             0.00151,           0.0086833,           0.0086833,           0.0086833
                 135,            0.033728,            0.013105,           0.0012052,              0.8791,             0.71975,             0.73821,              0.3325,            0.032551,            0.011085,           0.0013616,           0.0086734,           0.0086734,           0.0086734
                 136,            0.030545,            0.012743,           0.0011831,             0.81505,             0.67168,             0.73783,             0.30591,            0.034948,             0.01032,           0.0011059,           0.0086635,           0.0086635,           0.0086635
                 137,            0.031707,            0.012694,           0.0035995,             0.67231,             0.57429,             0.62905,             0.31384,            0.039726,            0.010656,          0.00086813,           0.0086536,           0.0086536,           0.0086536
                 138,             0.03429,            0.013331,           0.0018946,               0.778,             0.51804,             0.57965,             0.28003,            0.036462,            0.010904,          0.00088735,           0.0086437,           0.0086437,           0.0086437
                 139,            0.026373,             0.01001,          0.00095562,             0.71602,             0.66667,             0.69893,             0.33583,            0.036739,            0.011285,           0.0010883,           0.0086338,           0.0086338,           0.0086338
                 140,            0.032414,            0.011731,            0.002198,             0.72873,             0.76667,              0.7289,             0.33405,            0.037754,            0.010702,            0.001134,           0.0086239,           0.0086239,           0.0086239
                 141,            0.030239,            0.012056,           0.0016311,             0.75032,             0.76442,             0.72661,             0.40001,            0.032641,            0.010475,           0.0012405,            0.008614,            0.008614,            0.008614
                 142,            0.026442,            0.011226,           0.0016115,             0.85105,             0.80505,             0.78113,             0.37477,            0.032068,            0.010015,           0.0012877,           0.0086041,           0.0086041,           0.0086041
                 143,            0.026699,            0.012009,           0.0013925,             0.74424,             0.72118,             0.71177,             0.38018,            0.032951,           0.0099859,           0.0013411,           0.0085942,           0.0085942,           0.0085942
                 144,            0.031284,             0.01037,           0.0020108,             0.75556,               0.775,             0.74258,             0.34048,            0.034676,           0.0094254,           0.0011881,           0.0085843,           0.0085843,           0.0085843
                 145,            0.029728,             0.01158,            0.002084,             0.67806,             0.70845,              0.7449,             0.39637,            0.032267,           0.0096331,           0.0010321,           0.0085744,           0.0085744,           0.0085744
                 146,            0.027548,            0.012065,          0.00099582,             0.69565,              0.8144,             0.75555,             0.39943,            0.032454,           0.0085433,           0.0010974,           0.0085645,           0.0085645,           0.0085645
                 147,            0.025952,            0.010538,           0.0017892,             0.79552,             0.79744,             0.78217,             0.45287,            0.027644,           0.0085366,           0.0011822,           0.0085546,           0.0085546,           0.0085546
